genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments
PCDHGA1,22,"PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA1-202,
PCDHGA10,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA10-201,
PCDHGA11,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,"PCDHGA11-201, PCDHGA11-202",
PCDHGA12,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA12-201,
PCDHGA2,22,"PCDHGA1, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA2-201,
PCDHGA3,22,"PCDHGA1, PCDHGA2, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,"PCDHGA3-201, PCDHGA3-202",
PCDHGA4,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA4-201,
PCDHGA5,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA5-201,
PCDHGA6,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA6-201,
PCDHGA7,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA7-201,
PCDHGA8,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGB5, PCDHGA9, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA8-201,
PCDHGA9,22,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGB1, PCDHGA4, PCDHGB2, PCDHGA5, PCDHGB3, PCDHGA6, PCDHGA7, PCDHGB4, PCDHGA8, PCDHGB5, PCDHGB6, PCDHGA10, PCDHGB7, PCDHGA11, PCDHGA12, AC008781.3, PCDHGC3, PCDHGC4, PCDHGC5",,readthrough tr. deleted,PCDHGA9-201,
