genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments,
Fgfr2,22,"Ate1, Nsmce4a, Etos1, Gm5602, 4933402N03Rik, Cuzd1, Fam24b, 2310057M21Rik, Gm44623, Ikzf5, Cpxm2, Chst15, Gm34908, Gm35147, Oat, Nkx1-2, Gm15582, Fam53b, Eef1akmt2, 1500002F19Rik, Gm15718, Ctbp2",,keep as is,,,
Gm38182,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5",,Delete,,Absent in Refseq. Overlaps with many named genes.,
Pcdhga1,21,"Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,RENAME,,"Rename to ""Pcdhg_all"". Terminal exon is the same for all Pcdhg* genes and can't be effectively dissociated with 10x.",
Pcdhga10,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga11,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga12,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga2,21,"Pcdhga1, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga3,21,"Pcdhga1, Pcdhga2, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga4,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga5,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga6,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga7,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga8,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhga9,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgb1,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgb2,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgb4,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhga8, Pcdhgb5, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
Pcdhgb5,21,"Pcdhga1, Pcdhga2, Pcdhga3, Pcdhgb1, Pcdhga4, Pcdhgb2, Pcdhga5, Pcdhga6, Pcdhga7, Pcdhgb4, Pcdhga8, Pcdhga9, Pcdhgb6, Pcdhga10, Pcdhgb7, Pcdhga11, Pcdhga12, Pcdhgc3, Pcdhgc4, Pcdhgc5, Gm38182",,Delete,,,
