genes,3primcount,strand,ensembl_start,ensembl_end,refseq_term_left,refseq_term_right,ref_seq_overhang,,update_start,update_end,comments,,,
Klhl10,44853,+,100441917,100457022,0,100461669,4647,,,100461750,Refseq end,,,
Gabrb2,29160,+,42419757,42629028,0,42632591,3563,,,42632600,Refseq end,,,
Gpr165,23242,+,96713441,96719388,0,96719388,0,,,96721991,Pool lab mod,,,
Slc9a7,21950,-,20105754,20291807,20098851,0,6903,,20098515,,Refseq end,,,
Pabpn1,20158,+,54892500,54898169,0,54898927,758,,,54899000,Refseq end,,,
Cmip,19912,+,117257064,117459430,0,117461506,2076,,,117461500,Refseq end,,,
Pcm1,17037,+,41239752,41332344,0,41334087,1743,,,41335000,Refseq end,,,
Zic2,16983,+,122475435,122479852,0,122480328,476,,,122480328,Refseq end,,,
Zkscan16,16838,+,58943628,58958355,0,58962624,4269,,,58962624,Refseq end,,,
Fam120c,15359,+,151344175,151471842,0,151474136,2294,,,151474136,Refseq end,,,
Klhl11,15064,-,100462614,100472741,100457558,0,5056,,100457558,,Refseq end,,,
B230209E15Rik,14485,-,61529871,61615327,61529410,0,461,,61529410,,Refseq end,,,
Eef1a2,13697,-,181147653,181157014,181147692,0,-39,,181146250,,Pool lab mod,,,
Hipk2,12300,-,38694390,38876165,38687512,0,6878,,38687512,,Refseq end,,,
Glg1,10842,-,111154421,111259216,111157548,0,-3127,,111153290,,Pool lab mod,,,
Arl10,9564,+,54575015,54581128,0,54582765,1637,,,54582765,Refseq end,,,
Moap1,9497,-,102742230,102743661,102739830,0,2400,,102739830,,Refseq end,,,
Fgf12,9070,-,28160098,28753068,28157783,0,2315,,28157783,,Refseq end,,,
Ubxn2a,9027,-,4879032,4907705,4876804,0,2228,,4876804,,Refseq end,,,
Plcxd3,8657,+,4375491,4575553,0,4575585,32,,,4577012,"Modified based on read mapping, but not all the way",,,
Cul4b,8439,-,38533274,38576196,38531616,0,1658,,38531616,,Refseq end,,,
Gid8,8308,+,180710117,180718733,0,180721599,2866,,,180721599,Refseq end,,,
Rps6,7958,-,86854660,86857412,86854099,0,561,,86854099,,Refseq end,,,
Yaf2,7915,-,93284278,93336935,93283833,0,445,,93283833,,Refseq end,,,
Syne1,7890,-,5020917,5551482,5020192,0,725,,5020192,,Refseq end,,,
Gnaq,7730,+,16132831,16387463,0,16387453,-10,,,16388550,Pool lab modified,,,
Nrp1,7620,+,128358604,128503363,0,128505476,2113,,,128505476,Refseq end,,,
Strn3,7552,-,51609632,51691897,51608541,0,1091,,51608541,,Refseq end,,,
Slit1,7502,-,41600257,41743665,41597824,0,2433,,41597824,,Refseq end,,,
Cpeb3,7462,-,37021291,37208601,37019341,0,1950,,37019341,,Refseq end,,,
Stk24,7393,-,121286343,121380011,121284187,0,2156,,121284187,,Refseq end,,,
Atp2b3,7174,+,73503086,73571005,0,73573275,2270,,,73573275,Refseq end,,,
Rab11a,7149,-,64715299,64737758,64715300,0,-1,,64713540,,Pool lab modified,,,
3110040N11Rik,6933,-,81782182,81789478,81780283,0,1899,,81780283,,Refseq end,,,
Tusc3,6870,+,39005845,39165114,0,39165640,526,,,39165640,Refseq end,,,
Sorbs1,6830,-,40294753,40513779,40292040,0,2713,,40292040,,Refseq end,,,
Xkr4,6657,-,3205901,3671498,3199733,0,6168,,3199733,,Refseq end,,,
Tmem30a,6573,-,79768943,79793507,79768941,0,2,,79768250,,Pool lab modified,,,
